[14:33:40] [INFO] [main] 토큰 발급 중...
[14:33:44] [INFO] [main] 기존 보유 종목 포지션 복원 중...
[14:40:01] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:40:06] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:40:11] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:40:16] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:40:21] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:40:26] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:40:31] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:40:36] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:40:41] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:40:46] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:40:51] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:40:56] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:41:01] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:41:06] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:41:11] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:41:16] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:41:21] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:41:26] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:41:31] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:41:36] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:41:41] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:41:46] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:41:51] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:41:56] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:42:01] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:42:06] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:42:11] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:42:16] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:42:21] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:42:26] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:42:31] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:42:36] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:42:41] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:42:46] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:42:51] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:42:56] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:43:01] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:43:06] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:43:11] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:43:16] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:43:21] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:43:26] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:43:31] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:43:36] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:43:41] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:43:46] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:43:51] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:43:56] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:44:01] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:44:06] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:44:11] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:44:16] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:44:21] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:44:26] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:44:31] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:44:36] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:44:41] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:44:46] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:44:51] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:44:56] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:45:01] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:45:06] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:45:11] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:45:16] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:45:21] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:45:26] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:45:31] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:45:36] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:45:41] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:45:46] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:45:51] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:45:56] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:46:01] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:46:06] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:46:11] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:46:16] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:46:21] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:46:26] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:46:31] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:46:36] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:46:41] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:46:46] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:46:51] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:46:56] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:47:01] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:47:06] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:47:11] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:47:16] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:47:21] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:47:26] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:47:31] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:47:36] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:47:41] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:47:46] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:47:51] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:47:56] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:48:01] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:48:06] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:48:11] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:48:16] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:48:21] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:48:26] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:48:32] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:48:37] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:48:42] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
[14:48:47] [DEBUG] [strategy.position] 보유 포지션 없음 - 대기 중...
